STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT01,WT06,WT02,WT04,WT08,WT03
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140504,0,0,0,283,94,25,240,240,89,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140505,0,0,0,228,128,26,50,50,76,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140506,0,0,0,289,133,17,90,80,45,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140507,0,0,0,256,150,16,110,120,54,76,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140508,0,0,0,317,128,28,230,230,94,116,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140509,18,0,0,317,172,39,230,230,94,116,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140510,0,0,0,300,178,40,230,220,103,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140511,0,0,0,300,156,10,60,40,40,58,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140512,0,0,0,322,144,12,250,250,63,76,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140513,0,0,0,333,194,26,190,210,54,72,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140514,0,0,0,317,200,36,160,180,67,98,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140515,859,0,0,261,194,40,150,170,67,139,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140516,46,0,0,228,128,32,260,180,72,116,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140517,0,0,0,217,83,24,270,320,72,103,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140518,0,0,0,200,78,17,50,40,58,81,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140519,0,0,0,228,72,9,40,130,54,76,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140520,0,0,0,261,100,36,230,230,94,112,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140521,0,0,0,306,156,35,240,250,72,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140522,0,0,0,311,178,21,260,270,63,89,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140523,0,0,0,278,172,16,300,280,58,98,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140524,0,0,0,261,117,15,30,40,45,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20140525,0,0,0,278,122,11,240,240,45,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999
